,bug_cnt
0,0
1,0
2,0
3,0
4,0
5,1
6,2
7,6
8,4
9,4
10,0
11,0
12,3
13,1
14,0
15,0
16,0
17,1
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,2
27,0
28,1
29,0
30,0
31,0
32,0
33,2
34,1
35,0
36,3
37,5
38,3
39,8
40,0
41,0
42,0
43,13
44,1
45,1
46,0
47,1
48,0
49,0
50,0
51,0
52,0
53,2
54,0
55,1
56,3
57,0
58,2
59,0
60,1
61,0
62,7
63,2
64,0
65,0
66,0
67,0
68,0
69,0
70,2
71,2
72,0
73,2
74,1
75,4
76,0
77,0
78,0
79,4
80,0
81,2
82,2
83,3
84,0
85,0
86,3
87,17
88,1
89,1
90,0
91,1
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,1
107,0
108,0
109,1
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,1
120,1
121,1
122,3
123,25
124,2
125,0
126,47
127,0
128,0
129,3
130,8
131,6
132,0
133,3
134,3
135,2
136,1
137,2
138,1
139,1
140,1
141,1
142,1
143,1
144,0
145,0
146,1
147,1
148,0
149,0
150,2
151,0
152,1
153,1
154,1
155,1
156,2
157,1
158,1
159,7
160,0
161,14
162,2
163,1
164,26
165,3
166,0
167,6
168,4
169,7
170,1
171,1
172,2
173,4
174,0
175,3
176,1
177,3
178,11
179,22
180,6
181,1
182,1
183,0
184,6
185,12
186,0
187,3
188,4
189,8
190,4
191,8
192,6
193,1
194,3
195,0
196,1
197,7
198,7
199,22
200,1
201,0
202,15
203,8
204,0
205,5
206,3
207,4
208,0
209,1
210,3
211,0
212,0
213,10
214,10
215,2
216,0
217,0
218,2
219,3
220,0
221,7
222,3
223,1
224,1
225,4
226,2
227,0
228,10
229,1
230,0
231,0
232,0
233,2
234,10
235,3
236,2
237,0
238,0
239,0
240,0
241,0
242,4
243,4
244,6
245,0
246,0
247,9
248,11
249,0
250,1
251,3
252,2
253,8
254,0
255,7
256,2
257,4
258,1
259,0
260,0
261,0
262,6
263,3
264,1
265,1
266,0
267,6
268,12
269,0
270,1
271,2
272,3
273,1
274,0
275,15
276,0
277,3
278,0
279,0
280,2
281,0
282,3
283,2
284,1
285,1
286,16
287,5
288,1
289,1
290,0
291,1
292,1
293,3
294,1
295,0
296,0
297,0
298,6
299,3
300,0
301,0
302,3
303,2
304,6
305,1
306,1
307,0
308,0
309,0
310,0
311,0
312,1
313,1
314,0
315,0
316,0
317,1
318,1
319,1
320,1
321,1
322,1
323,1
324,1
325,1
326,0
327,1
328,0
329,1
330,1
331,2
332,0
333,0
334,0
335,0
336,0
337,0
338,9
339,2
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,3
350,0
351,0
352,13
353,2
354,7
355,8
356,31
357,12
358,2
359,4
360,0
361,0
362,0
363,0
364,3
365,1
366,13
367,0
368,10
369,12
370,17
371,34
372,1
373,1
374,3
375,17
376,5
377,23
378,0
379,1
380,0
381,0
382,1
383,0
384,9
385,22
386,70
387,0
388,31
389,2
390,0
391,0
392,6
393,5
394,17
395,7
396,2
397,19
398,0
399,0
400,0
401,12
402,15
403,0
404,1
405,2
406,14
407,1
408,34
409,8
410,0
411,0
412,3
413,0
414,1
415,1
416,2
417,0
418,1
419,2
420,12
421,1
422,5
423,0
424,0
425,0
426,0
427,1
428,0
429,0
430,52
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,2
443,0
444,0
445,0
446,0
447,4
448,2
449,3
450,1
451,0
452,0
453,1
454,1
455,0
456,0
457,0
458,0
459,0
460,0
461,6
462,28
463,1
464,1
465,6
466,0
467,1
468,0
469,13
470,4
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,2
479,0
480,0
481,0
482,0
483,2
484,11
485,0
486,0
487,0
488,0
489,15
490,4
491,10
492,0
493,0
494,1
495,3
496,0
497,1
498,0
499,0
500,1
501,0
502,1
503,0
504,0
505,0
506,4
507,1
508,0
509,0
510,0
511,1
512,0
513,5
514,1
515,0
516,0
517,0
518,0
519,0
520,0
521,0
522,16
523,1
524,0
525,0
526,0
527,0
528,3
529,0
530,0
531,0
